Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.7991483321504613,0.6542372881355932,0.516042780748663,0.5769805680119582,0.8422847399829497
Decision Tree Tuned,0.7934705464868701,0.6531365313653137,0.4732620320855615,0.5488372093023256,0.8311271280580744
Random Forest Tuned,0.8026969481902059,0.6655172413793103,0.516042780748663,0.5813253012048193,0.8446175308067891
Random Forest + SMOTE,0.7665010645848119,0.5442043222003929,0.7406417112299465,0.6274065685164213,0.8439665194140897
